h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson,biochar_suitability_score,soil_quality_index,suitability_grade,color_hex,recommendation,property_ratings_moisture,property_scores_moisture,property_ratings_soc,property_scores_soc,property_ratings_ph,property_scores_ph,property_ratings_temperature,property_scores_temperature,suitability_score
8581648ffffffff,0.39222765,0.38904226,0.21162418,0.5104056,0.51131874,300.85547,-50.580142597366745,-12.696367631556594,4709,"[[-50.53437988576237, -12.78053899280767], [-50.48341800037852, -12.70128776632577], [-50.5291762697951, -12.617089812223165], [-50.62584868498643, -12.612172252033968], [-50.6767828689557, -12.691414077280854], [-50.63107246894451, -12.77558286556432]]",87.5,12.5,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,8.75
85816493fffffff,2.52384,2.5664113,0.20499454,2.9170287,2.9196467,300.70117,-50.59053352554278,-13.022925724563644,4698,"[[-50.544794069430026, -13.10701866885358], [-50.493809653149896, -13.027946192189004], [-50.53958581848684, -12.943849437552329], [-50.63629857643676, -12.938854840875123], [-50.68725522066223, -13.017918626681363], [-50.64152700892678, -13.101985701996417]]",87.5,12.5,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,8.75
85816497fffffff,3.5792162,3.4378195,0.20341673,5.1581774,5.160903,300.72128,-50.73294198637138,-12.933808508091992,4696,"[[-50.68725522066223, -13.017918626681363], [-50.63629857643676, -12.938854840875123], [-50.68201788099113, -12.85473626611246], [-50.778645486960244, -12.849711409956683], [-50.82957376024541, -12.928766081894222], [-50.78390292775606, -13.01285472587432]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
8581649bfffffff,0.049925644,0.04695135,0.20778514,0.06299129,0.063182496,300.74518,-50.442814305502445,-12.94878756745273,4707,"[[-50.39701281864038, -13.032909672546115], [-50.34601253457756, -12.953738606695822], [-50.39183608978752, -12.869612678862518], [-50.48861266972436, -12.86468699182728], [-50.53958581848684, -12.943849437552329], [-50.493809653149896, -13.027946192189004]]",87.5,12.5,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,8.75
858164a3fffffff,3.5690866,3.2354693,0.20224638,5.5125823,5.5219717,300.86304,-50.86462026080477,-12.518010335533319,4697,"[[-50.81904349123582, -12.602240070329577], [-50.76813760691367, -12.523008073426157], [-50.81378186066688, -12.438771890548807], [-50.91028322525612, -12.433797368698995], [-50.961160214585746, -12.513019110169026], [-50.91556486275131, -12.597225630602463]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
858164a7fffffff,3.8413544,3.6509795,0.19038281,5.0066013,5.005345,300.81183,-51.00674307091141,-12.42880552278535,4696,"[[-50.961160214585746, -12.513019110169026], [-50.91028322525612, -12.433797368698995], [-50.955869765238404, -12.349543996118314], [-51.05228400926795, -12.344542275949967], [-51.10313151118084, -12.423753334935002], [-51.057594384221105, -12.507976798282908]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
858164abfffffff,3.4853315,3.1649659,0.21581767,5.499171,5.513712,301.00085,-50.71718752742347,-12.443653231292517,4704,"[[-50.67155018309195, -12.527954541970358], [-50.62062722310011, -12.448625489485332], [-50.66631982193699, -12.364360155086606], [-50.76288716473207, -12.359453026152604], [-50.81378186066688, -12.438771890548807], [-50.76813760691367, -12.523008073426157]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
858164affffffff,3.407612,3.1211991,0.20698315,5.520965,5.530449,300.9818,-50.85940362874761,-12.354547714012332,4703,"[[-50.81378186066688, -12.438771890548807], [-50.76288716473207, -12.359453026152604], [-50.80852256410116, -12.275170255566817], [-50.90500392838378, -12.270235748868306], [-50.955869765238404, -12.349543996118314], [-50.91028322525612, -12.433797368698995]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
858164b3fffffff,3.574835,3.3140302,0.19927345,5.309815,5.315031,300.77908,-50.86994617841175,-12.681358555673835,4697,"[[-50.82430745727319, -12.765572296061755], [-50.773390380501446, -12.686428365768469], [-50.81904349123582, -12.602240070329577], [-50.91556486275131, -12.597225630602463], [-50.966453008580366, -12.676359665556086], [-50.920848842336454, -12.760518037448021]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
858164b7fffffff,3.7124574,3.5115187,0.18827547,5.065252,5.0645266,300.72858,-51.0120214537116,-12.592127793515358,4688,"[[-50.966453008580366, -12.676359665556086], [-50.91556486275131, -12.597225630602463], [-50.961160214585746, -12.513019110169026], [-51.057594384221105, -12.507976798282908], [-51.10845300636494, -12.587100512824726], [-51.062907110365046, -12.671276861570087]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
