h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson
878b84489ffffff,3.5164835,3.4395604,0.234084,5.2000003,5.1945057,298.51254,-55.9415848021978,-13.034764549450548,91,"[[-55.935349613824, -13.046942410224771], [-55.92824314745965, -13.035998239231397], [-55.934454174525115, -13.024074036966729], [-55.94777032383576, -13.023094900453357], [-55.954875791844756, -13.034038746482421], [-55.948666109193724, -13.045962054013305]]"
878b8448affffff,4.1868134,4.5054946,0.23467167,4.991209,4.9923077,298.50146,-55.901456758241764,-13.037849406593406,91,"[[-55.895390871350116, -13.049880027959727], [-55.888282612577434, -13.038933168128677], [-55.89449647132617, -13.027008001769351], [-55.907817247098876, -13.026030587986831], [-55.91492451043473, -13.03697712392302], [-55.90871199373071, -13.048901397560607]]"
878b8448bffffff,3.5714285,3.6153846,0.23491721,5.125275,5.124176,298.50967,-55.92112593406594,-13.025361923076924,91,"[[-55.91492451043473, -13.03697712392302], [-55.907817247098876, -13.026030587986831], [-55.9140296173228, -13.014105492340256], [-55.92734790801974, -13.013127826035792], [-55.934454174525115, -13.024074036966729], [-55.92824314745965, -13.035998239231397]]"
878b8448cffffff,3.5666666,3.5222223,0.23274027,5.3722224,5.3722224,298.49884,-55.92282137777777,-13.070612066666667,90,"[[-55.9167144571979, -13.08271179103298], [-55.909606793870815, -13.071769340425021], [-55.915819457058305, -13.059845892408662], [-55.92913844042232, -13.058865789788584], [-55.9362451066534, -13.069807917691826], [-55.93003378691211, -13.081730470944136]]"
878b8448dffffff,3.631579,3.5684211,0.23297389,5.1610527,5.1578946,298.50735,-55.94247793684211,-13.057780978947367,95,"[[-55.9362451066534, -13.069807917691826], [-55.92913844042232, -13.058865789788584], [-55.935349613824, -13.046942410224771], [-55.948666109193724, -13.045962054013305], [-55.95577177693661, -13.056903858103], [-55.949561948093255, -13.068826342241993]]"
878b8448effffff,4.5384617,4.4945054,0.23355494,5.0615387,5.058242,298.4957,-55.902592,-13.061022967032969,91,"[[-55.896285324871194, -13.072749186982037], [-55.8891768659741, -13.061804369388923], [-55.895390871350116, -13.049880027959727], [-55.90871199373071, -13.048901397560607], [-55.915819457058305, -13.059845892408662], [-55.909606793870815, -13.071769340425021]]"
878b84490ffffff,3.4526315,3.4736843,0.23331274,5.1021056,5.1010528,298.46686,-55.82352204210526,-13.089458410526316,95,"[[-55.8172166317151, -13.101489693817467], [-55.810104405163855, -13.09054154951182], [-55.81632420831193, -13.07861613613416], [-55.82965490073603, -13.077639757158158], [-55.83676613744115, -13.088587582010934], [-55.83054767186577, -13.100512105316545]]"
878b84491ffffff,3.3908045,3.1034484,0.23367672,5.193104,5.186207,298.47556,-55.842956540229885,-13.076979471264368,87,"[[-55.83676613744115, -13.088587582010934], [-55.82965490073603, -13.077639757158158], [-55.83587321924269, -13.06571440015805], [-55.849201436058344, -13.064737758770534], [-55.85631168151726, -13.075685263059903], [-55.85009470170384, -13.087609729324182]]"
878b84492ffffff,3.6853933,3.6179776,0.23398566,4.9842696,4.983146,298.46487,-55.80297956179775,-13.07945788764045,89,"[[-55.796771239506455, -13.091517663601353], [-55.78965822528966, -13.080567156129764], [-55.79587936474456, -13.068640854033594], [-55.809212182407265, -13.067665948151353], [-55.81632420831193, -13.07861613613416], [-55.810104405163855, -13.09054154951182]]"
878b84493ffffff,3.652174,3.5434783,0.23441187,5.0826087,5.0826087,298.47366,-55.822507826086955,-13.066337532608696,92,"[[-55.81632420831193, -13.07861613613416], [-55.809212182407265, -13.067665948151353], [-55.81543183834297, -13.055739701768859], [-55.828762183051765, -13.054764532775401], [-55.83587321924269, -13.06571440015805], [-55.82965490073603, -13.077639757158158]]"
