municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Cururupu (MA),Cururupu,MA,,,,,0.0,0.0,,0.0,0.0,,,3.0,20.81067653,9.467817286,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,7.0,,,,,24.0,,,,,,,,,,,,,,402.0,,,,17.0,,55.0,325.2176049,186.1991891,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Davinópolis (MA),Davinópolis,MA,,,,,0.0,0.0,,0.0,0.0,,,12.0,83.24270611,37.87126914,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,36.0,,,,,,,,,,,,,,27.0,,,,,,280.0,1655.653261,947.9231446,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Dom Pedro (MA),Dom Pedro,MA,,,,,0.0,0.0,,0.0,0.0,,,141.0,978.1017968,444.9874125,,0.0,0.0,,44.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,7.0,,,,,,0.0,,0.0,0.0,,,,,,2.0,105.0,,,,,,,,,,,,8.0,,105.0,,,,1.0,,1265.0,7480.004912,4282.58135,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Duque Bacelar (MA),Duque Bacelar,MA,,,,,0.0,0.0,,0.0,0.0,,,190.0,1318.009513,599.6284281,,0.0,0.0,,2.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,55.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,76.0,,,,,,,1.0,,,,,,,55.0,,,,2.0,,160.0,946.0875778,541.6703684,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Esperantinópolis (MA),Esperantinópolis,MA,,,,,0.0,0.0,,0.0,0.0,,,200.0,1387.378435,631.1878191,,0.0,0.0,,13.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,150.0,,,,,,,,,,,,,,30.0,,,,,,150.0,886.9571042,507.8159703,,,,,,,,425.0,1455.760127,985.7946974,,,,,0.0,0.0,,0.0,0.0,,,
Estreito (MA),Estreito,MA,2.0,,,,0.0,0.0,,0.0,0.0,,3.0,220.0,1526.116279,694.306601,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,75.0,,,,,,,,,,,,,,45.0,,,,6.0,,1971.0,11654.61635,6672.70185,,,,,,,,6910.0,23668.94701,16027.86202,,,,,0.0,0.0,,0.0,0.0,,,
Feira Nova do Maranhão (MA),Feira Nova do Maranhão,MA,,,,,0.0,0.0,,0.0,0.0,,,360.0,2497.281183,1136.138074,,0.0,0.0,,35.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,19.0,,,,,,0.0,,0.0,0.0,,,,,,,275.0,,,,,,,,,,,,,,200.0,,,,,,1464.0,8656.701337,4956.283871,,,,,,,,1850.0,6336.838201,4291.10633,,,,,0.0,0.0,,0.0,0.0,,,
Fernando Falcão (MA),Fernando Falcão,MA,,,,,0.0,0.0,,0.0,0.0,,,95.0,659.0047567,299.8142141,,0.0,0.0,,12.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,9.0,,,0.0,,0.0,0.0,,3.0,,,,,133.0,,,,,,,,,,,,,,87.0,,,,,,3682.0,21771.84038,12465.18935,,,,,,,,12776.0,43761.86208,29634.14836,,,,,0.0,0.0,,0.0,0.0,,,
Formosa da Serra Negra (MA),Formosa da Serra Negra,MA,2.0,2.0,,,0.0,0.0,,0.0,0.0,,,215.0,1491.431818,678.5269055,,0.0,0.0,,9.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,4.0,,,0.0,,0.0,0.0,,,,,,,150.0,,,,,,,,,,,,,,105.0,,,,2.0,,850.0,5026.090257,2877.623832,,,,,,,,200.0,685.0635893,463.903387,,,2.0,,0.0,0.0,,0.0,0.0,,,
Fortaleza dos Nogueiras (MA),Fortaleza dos Nogueiras,MA,,,,,0.0,0.0,,0.0,0.0,,,515.0,3572.499471,1625.308634,,0.0,0.0,,20.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,5.0,,,,,433.0,,,,,,,,,,,,,,149.0,,,,,,11727.0,69342.30641,39701.05256,,,,,,,,18623.0,63789.69612,43196.36388,,,,,0.0,0.0,,0.0,0.0,,,
Fortuna (MA),Fortuna,MA,4.0,,,,0.0,0.0,,0.0,0.0,,,398.0,2760.883086,1256.06376,,0.0,0.0,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,10.0,,,0.0,,0.0,0.0,,5.0,,,,,124.0,,,,,,,,,,,,,,55.0,,,,,,3900.0,23060.88471,13203.21523,,,,,,,,3910.0,13392.99317,9069.311216,,,,,0.0,0.0,,0.0,0.0,,,
Godofredo Viana (MA),Godofredo Viana,MA,,20.0,,,0.0,0.0,,0.0,0.0,,,16.0,110.9902748,50.49502553,,0.0,0.0,,6.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,9.0,,,0.0,,0.0,0.0,,,,,,,22.0,,,,,,,,,,,,,,170.0,,,,,,70.0,413.9133153,236.9807862,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Gonçalves Dias (MA),Gonçalves Dias,MA,,,,,0.0,0.0,,0.0,0.0,,,225.0,1560.80074,710.0862965,,0.0,0.0,,16.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,18.0,,,,,,0.0,,0.0,0.0,,,,,,3.0,302.0,,,,,,,,,,,,,,52.0,,,,1.0,,1020.0,6031.308309,3453.148598,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Governador Archer (MA),Governador Archer,MA,,,,,0.0,0.0,,0.0,0.0,,,90.0,624.3202958,284.0345186,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,137.0,,,,,,,,,,,,,,62.0,,,,,,250.0,1478.26184,846.3599506,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Governador Edison Lobão (MA),Governador Edison Lobão,MA,,,,,0.0,0.0,,0.0,0.0,,,14.0,97.11649046,44.18314734,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,26.0,,,,,,,,,,,,,,13.0,,,,,,130.0,768.696157,440.1071743,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Governador Eugênio Barros (MA),Governador Eugênio Barros,MA,4.0,,,,0.0,0.0,,0.0,0.0,,15.0,205.0,1422.062896,646.9675146,,0.0,0.0,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,5.0,,,0.0,,0.0,0.0,,,,,,,116.0,,,,,,,,,,,,,,35.0,,,,,,1500.0,8869.571042,5078.159703,,,,,,,,5015.0,17177.9695,11632.37743,,,,,0.0,0.0,,0.0,0.0,,,
Governador Luiz Rocha (MA),Governador Luiz Rocha,MA,4.0,,,,0.0,0.0,,0.0,0.0,,,206.0,1428.999788,650.1234537,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,5.0,,,0.0,,0.0,0.0,,,,,,,94.0,,,,,,,,,,,,,,34.0,,,,,,2330.0,13777.40035,7888.074739,,,,,,,,2500.0,8563.294866,5798.792338,,,,,0.0,0.0,,0.0,0.0,,,
Governador Newton Bello (MA),Governador Newton Bello,MA,,,,,0.0,0.0,,0.0,0.0,,,95.0,659.0047567,299.8142141,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,15.0,,,0.0,,0.0,0.0,,,,,,,81.0,,,,,,,,,,,,,,53.0,,,,,,65.0,384.3480785,220.0535872,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Governador Nunes Freire (MA),Governador Nunes Freire,MA,,45.0,,,0.0,0.0,,0.0,0.0,,,50.0,346.8446088,157.7969548,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,30.0,,,0.0,,0.0,0.0,,6.0,,,,,123.0,,,,,,,4.0,,,,,,,403.0,,,,,,284.0,1679.305451,961.4649039,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Graça Aranha (MA),Graça Aranha,MA,118.0,,,,0.0,0.0,,0.0,0.0,,,149.0,1033.596934,470.2349252,,0.0,0.0,,16.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,94.0,,,,,,,,,,,,,,138.0,,,,,,594.0,3512.350133,2010.951243,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Grajaú (MA),Grajaú,MA,,,,,0.0,0.0,,0.0,0.0,,,1550.0,10752.18287,4891.705598,,0.0,0.0,,62.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,12.0,,,42.0,,,0.0,,0.0,0.0,,35.0,,,,,419.0,,,,,,,,,,,,,,151.0,,2.0,,,,7450.0,44052.20284,25221.52653,,,,,,,,46820.0,160373.3862,108599.7829,,,40.0,,0.0,0.0,,0.0,0.0,,,
Guimarães (MA),Guimarães,MA,,,,,0.0,0.0,,0.0,0.0,,,13.0,90.17959829,41.02720824,,0.0,0.0,,13.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,42.0,,,,,,0.0,,0.0,0.0,,20.0,,,,,24.0,,,,,,,,,,,,,,421.0,,,,17.0,,145.0,857.3918674,490.8887713,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Humberto de Campos (MA),Humberto de Campos,MA,,,,,0.0,0.0,,0.0,0.0,,,6.0,41.62135306,18.93563457,,0.0,0.0,,8.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,107.0,,,0.0,,0.0,0.0,,12.0,,,,,18.0,,,,,,,,,,,,,,465.0,,,,,,56.0,331.1306522,189.5846289,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Icatu (MA),Icatu,MA,,,,,0.0,0.0,,0.0,0.0,,,3.0,20.81067653,9.467817286,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,39.0,,,,,21.0,,,,,,,,,,,,,,540.0,,,,,,22.0,130.087042,74.47967565,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Igarapé do Meio (MA),Igarapé do Meio,MA,,,,,0.0,0.0,,0.0,0.0,,,60.0,416.2135306,189.3563457,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,8.0,,,0.0,,0.0,0.0,,,,,,,54.0,,,,,,,,,,,,,,40.0,,,,5.0,,33.0,195.1305629,111.7195135,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Igarapé Grande (MA),Igarapé Grande,MA,,,,,0.0,0.0,,0.0,0.0,,,9.0,62.43202958,28.40345186,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,26.0,,,,,,,,,,,,,,11.0,,,,,,37.0,218.7827524,125.2612727,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Imperatriz (MA),Imperatriz,MA,,,,,0.0,0.0,,0.0,0.0,,,48.0,332.9708244,151.4850766,,0.0,0.0,,3.0,,,57.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,3.0,,,0.0,,0.0,0.0,,,,,,4.0,97.0,,,,,,,,,,,,,,6.0,,,,,,66.0,390.2611259,223.439027,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Itaipava do Grajaú (MA),Itaipava do Grajaú,MA,,5.0,,,0.0,0.0,,0.0,0.0,,1.0,140.0,971.1649046,441.8314734,,0.0,0.0,,18.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,25.0,,,8.0,,,0.0,,0.0,0.0,,3.0,,,,,132.0,,,,,,,,,,,,,,38.0,,,,,,300.0,1773.914208,1015.631941,,,,,,,,,0.0,0.0,,,5.0,,0.0,0.0,,0.0,0.0,,,
Itapecuru Mirim (MA),Itapecuru Mirim,MA,,,,,0.0,0.0,,0.0,0.0,,,650.0,4508.979914,2051.360412,,0.0,0.0,,2.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,5.0,,,,,340.0,,,,,,,1.0,,,,,,,919.0,,,,,,730.0,4316.524574,2471.371056,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Itinga do Maranhão (MA),Itinga do Maranhão,MA,,,,,0.0,0.0,,0.0,0.0,,5.0,212.0,1470.621141,669.0590882,,0.0,0.0,,510.0,,,182.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,101.0,,,,,,,,,,,,,,69.0,,,,23.0,,10399.0,61489.77951,35205.1885,,,,,5.0,,,40696.0,139396.7391,94395.06119,,,,,0.0,0.0,,0.0,0.0,,,
Jatobá (MA),Jatobá,MA,4.0,,,,0.0,0.0,,0.0,0.0,,,310.0,2150.436575,978.3411196,,0.0,0.0,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,4.0,,,0.0,,0.0,0.0,,1.0,,,,,220.0,,,,,,,,,,,,,,45.0,,,,30.0,,650.0,3843.480785,2200.535872,,,,,,,,430.0,1472.886717,997.3922821,,,,,0.0,0.0,,0.0,0.0,,,
Jenipapo dos Vieiras (MA),Jenipapo dos Vieiras,MA,,,,,0.0,0.0,,0.0,0.0,,,64.0,443.9610993,201.9801021,,0.0,0.0,,8.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,8.0,,,0.0,,0.0,0.0,,3.0,,,,,129.0,,,,,,,,,,,,,,77.0,,,,1.0,,512.0,3027.480249,1733.345179,,,,,,,,400.0,1370.127179,927.8067741,,,2.0,,0.0,0.0,,0.0,0.0,,,
João Lisboa (MA),João Lisboa,MA,,,,,0.0,0.0,,0.0,0.0,,,13.0,90.17959829,41.02720824,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,25.0,,,,,,,,,,,,,,17.0,,,,4.0,,720.0,4257.3941,2437.516658,,,,,,,,421.0,1442.058855,976.5166297,,,1.0,,0.0,0.0,,0.0,0.0,,,
Joselândia (MA),Joselândia,MA,,,,,0.0,0.0,,0.0,0.0,,,122.0,846.3008455,385.0245696,,0.0,0.0,,120.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,232.0,,,,,,,,,,,,,,70.0,,,,,,70.0,413.9133153,236.9807862,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Junco do Maranhão (MA),Junco do Maranhão,MA,,20.0,,,0.0,0.0,,0.0,0.0,,,35.0,242.7912262,110.4578683,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,13.0,,,0.0,,0.0,0.0,,2.0,,,,,48.0,,,,,,,,,,,,,,110.0,,,,,,110.0,650.4352098,372.3983783,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Lago da Pedra (MA),Lago da Pedra,MA,,,,,0.0,0.0,,0.0,0.0,,,150.0,1040.533826,473.3908643,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,170.0,,,,,,,,,,,,,,45.0,,,,,,150.0,886.9571042,507.8159703,,,,,,,,7400.0,25347.3528,17164.42532,,,,,0.0,0.0,,0.0,0.0,,,
Lago do Junco (MA),Lago do Junco,MA,1.0,,,,0.0,0.0,,0.0,0.0,,,151.0,1047.470719,476.5468034,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,300.0,1773.914208,1015.631941,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Lago Verde (MA),Lago Verde,MA,,,,,0.0,0.0,,0.0,0.0,,,130.0,901.7959829,410.2720824,,0.0,0.0,,6.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,223.0,,,,,,,,,,,,,,60.0,,,,,,210.0,1241.739946,710.9423585,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Lagoa do Mato (MA),Lagoa do Mato,MA,,,,,0.0,0.0,,0.0,0.0,,,378.0,2622.145242,1192.944978,,0.0,0.0,,4.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,,,2.0,,,0.0,,0.0,0.0,,,,,,32.0,123.0,,,,,,,,,,,,,,28.0,,,,,,648.0,3831.65469,2193.764992,,,,,,,,9187.0,31468.39597,21309.40208,,,,,0.0,0.0,,0.0,0.0,,,
Lago dos Rodrigues (MA),Lago dos Rodrigues,MA,33.0,,,,0.0,0.0,,0.0,0.0,,,130.0,901.7959829,410.2720824,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,153.0,,,,,,0.0,,0.0,0.0,,,,,,,25.0,,,,,,,,,,,,,,15.0,,,,,,90.0,532.1742625,304.6895822,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Lagoa Grande do Maranhão (MA),Lagoa Grande do Maranhão,MA,,,,,0.0,0.0,,0.0,0.0,,,160.0,1109.902748,504.9502553,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,110.0,,,,,,,,,,,,,,25.0,,,,,,245.0,1448.696604,829.4327516,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Lajeado Novo (MA),Lajeado Novo,MA,,,,,0.0,0.0,,0.0,0.0,,,8.0,55.49513741,25.24751276,,0.0,0.0,,185.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,4.0,15.0,,,,,,,4.0,4.0,,,,3.0,,20.0,,,,35.0,,753.0,4452.524663,2549.236171,,,,,,,,1520.0,5206.483279,3525.665741,,,9.0,,0.0,0.0,,0.0,0.0,,,
Lima Campos (MA),Lima Campos,MA,,,,,0.0,0.0,,0.0,0.0,,,50.0,346.8446088,157.7969548,,0.0,0.0,,35.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,24.0,,,,,,,,,,,,,,12.0,,,,,,25.0,147.826184,84.63599506,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Loreto (MA),Loreto,MA,,,,,0.0,0.0,,0.0,0.0,,,1024.0,7103.377588,3231.681634,,0.0,0.0,,76.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,15.0,,,,,,0.0,,0.0,0.0,,,,,,,1149.0,,,,,,,,,,,,,,188.0,,,,,,15366.0,90859.88576,52020.668,,,,,,,,39160.0,134135.4508,90832.28318,1544.0,,,,0.0,0.0,,0.0,0.0,,,
Luís Domingues (MA),Luís Domingues,MA,,42.0,,,0.0,0.0,,0.0,0.0,,,18.0,124.8640592,56.80690372,,0.0,0.0,,13.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,4.0,,,0.0,,0.0,0.0,,,,,,,18.0,,,,,,,,,,,,,,165.0,,,,,,25.0,147.826184,84.63599506,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Magalhães de Almeida (MA),Magalhães de Almeida,MA,,,,,0.0,0.0,,0.0,0.0,,,110.0,763.0581393,347.1533005,,0.0,0.0,,31.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,102.0,,,0.0,,0.0,0.0,,10.0,,,,,360.0,,,,,,,,,,,,,,401.0,,,,,,740.0,4375.655047,2505.225454,,,,,,,,4200.0,14386.33537,9741.971128,,,,,0.0,0.0,,0.0,0.0,,,
Maracaçumé (MA),Maracaçumé,MA,,20.0,,,0.0,0.0,,0.0,0.0,,,18.0,124.8640592,56.80690372,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,12.0,,,0.0,,0.0,0.0,,3.0,,,,,70.0,,,,,,,,,,,,,,275.0,,,,,,90.0,532.1742625,304.6895822,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Marajá do Sena (MA),Marajá do Sena,MA,,,,,0.0,0.0,,0.0,0.0,,2.0,370.0,2566.650105,1167.697465,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,129.0,,,,,,,,,,,,,,30.0,,,,,,1500.0,8869.571042,5078.159703,,,,,,,,2754.0,9433.325624,6387.949639,,,,,0.0,0.0,,0.0,0.0,,,
Maranhãozinho (MA),Maranhãozinho,MA,,10.0,,,0.0,0.0,,0.0,0.0,,,140.0,971.1649046,441.8314734,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,20.0,,,0.0,,0.0,0.0,,,,,,,90.0,,,,,,,,,,,,,,200.0,,,,,,105.0,620.8699729,355.4711792,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Mata Roma (MA),Mata Roma,MA,,,,,0.0,0.0,,0.0,0.0,,,260.0,1803.591966,820.5441648,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.0,,,24.0,,,0.0,,0.0,0.0,,,,,,,85.0,,,,,,,,,,,,,,140.0,,,,,,480.0,2838.262733,1625.011105,,,,,,,,8400.0,28772.67075,19483.94226,,,,,0.0,0.0,,0.0,0.0,,,
Matinha (MA),Matinha,MA,,16.0,,,0.0,0.0,,0.0,0.0,,,106.0,735.3105706,334.5295441,,0.0,0.0,,2.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,15.0,,,,,,,,,,,,,,610.0,,,,12.0,,208.0,1229.913851,704.1714789,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Matões (MA),Matões,MA,,,,,0.0,0.0,,0.0,0.0,,,900.0,6243.202958,2840.345186,,0.0,0.0,,2.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,,,180.0,,,0.0,,0.0,0.0,,,,,,,1070.0,,,,,,,2.0,,,,,,,560.0,,,,,,3000.0,17739.14208,10156.31941,,,,,,,,9000.0,30827.86152,20875.65242,,,,,0.0,0.0,,0.0,0.0,,,
Matões do Norte (MA),Matões do Norte,MA,,,,,0.0,0.0,,0.0,0.0,,,760.0,5272.038054,2398.513713,,0.0,0.0,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,255.0,,,,,,,,,,,,,,164.0,,,,,,415.0,2453.914655,1404.957518,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Milagres do Maranhão (MA),Milagres do Maranhão,MA,,,,,0.0,0.0,,0.0,0.0,,,230.0,1595.4852,725.8659919,,0.0,0.0,,6.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,15.0,,,20.0,,,0.0,,0.0,0.0,,,,,,,150.0,,,,,,,,,,,,,,270.0,,,,,,230.0,1360.000893,778.6511545,,,,,,,,4800.0,16441.52614,11133.68129,,,,,0.0,0.0,,0.0,0.0,,,
Mirador (MA),Mirador,MA,,,,,0.0,0.0,,0.0,0.0,,,450.0,3121.601479,1420.172593,,0.0,0.0,,16.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,198.0,,,19.0,,,0.0,,0.0,0.0,,2.0,,,,38.0,463.0,,,,,,,,,,,,,,134.0,,,,,,3910.0,23120.01518,13237.06963,,,,,,,,36903.0,126404.5082,85597.13346,34.0,,,,0.0,0.0,,0.0,0.0,,,
Miranda do Norte (MA),Miranda do Norte,MA,,,,,0.0,0.0,,0.0,0.0,,,260.0,1803.591966,820.5441648,,0.0,0.0,,1.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,237.0,,,,,,,1.0,,,,,,,135.0,,,,,,102.0,603.1308309,345.3148598,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
