municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Jaboticabal (SP),Jaboticabal,SP,,,,,0.0,0.0,,0.0,0.0,,4500.0,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,57550.0,,,,35.0,,0.0,,0.0,0.0,,,,,,,,,,,90.0,,,65.0,27.0,,,,,,10.0,,,,,,300.0,1773.914208,1015.631941,,1.0,,,,,,3500.0,11988.61281,8118.309273,30.0,,30.0,,0.0,0.0,,0.0,0.0,,,
Jacareí (SP),Jacareí,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,16.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,,7.0,,,,0.0,,0.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,2.0,11.82609472,6.770879605,,,,,,,,,0.0,0.0,,6.0,1.0,,0.0,0.0,,0.0,0.0,,,
Jaci (SP),Jaci,SP,,,,,0.0,0.0,,0.0,0.0,,50.0,,0.0,0.0,,0.0,0.0,,,,,900.0,,,20.0,37.188,6.69384,20.0,37.188,6.69384,,0.0,0.0,,6518.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,20.0,11.0,,,,,,50.0,10.0,,,,,100.0,591.3047361,338.5439802,,,,,,,,1300.0,4452.91333,3015.372016,,4.0,,,0.0,0.0,,0.0,0.0,,,
Jacupiranga (SP),Jacupiranga,SP,,,,,0.0,0.0,,0.0,0.0,,,20.0,138.7378435,63.11878191,,0.0,0.0,,3000.0,,,65.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,1.0,,,,,,,,,,7.0,,3.0,,,,40.0,236.5218945,135.4175921,,220.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Jaguariúna (SP),Jaguariúna,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,11.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2630.0,,8.0,,,,0.0,,0.0,0.0,,,,,,,,,,,6.0,,,45.0,,,,,,,45.0,,,,,,200.0,1182.609472,677.0879605,,,,,,,,510.0,1746.912153,1182.953637,,,,,0.0,0.0,,0.0,0.0,,,
Jales (SP),Jales,SP,8.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,400.0,2.0,,400.0,,,6.0,11.1564,2.008152,6.0,11.1564,2.008152,,0.0,0.0,,5200.0,,2.0,,,,0.0,,0.0,0.0,,6.0,,,,,,,,,10.0,,,860.0,200.0,,,,6.0,,80.0,30.0,3.0,,,,120.0,709.5656834,406.2527763,,9.0,,,,,,100.0,342.5317946,231.9516935,,28.0,20.0,,0.0,0.0,,0.0,0.0,,,209.0
Jambeiro (SP),Jambeiro,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Jandira (SP),Jandira,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Jardinópolis (SP),Jardinópolis,SP,,,,,0.0,0.0,,0.0,0.0,,1700.0,,0.0,0.0,,0.0,0.0,,8.0,,,,,,38.0,70.6572,12.718296,38.0,70.6572,12.718296,,0.0,0.0,,36000.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,13.0,,,4.0,16.0,,,,,,7.0,30.0,,,,,650.0,3843.480785,2200.535872,,,,,,,,2000.0,6850.635893,4639.03387,150.0,2.0,,,0.0,0.0,,0.0,0.0,,,
Jarinu (SP),Jarinu,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.0,,5.0,,,,0.0,,0.0,0.0,,,,,,,5.0,,,,,,,1.0,1.0,,,,,,30.0,,,,,,400.0,2365.218945,1354.175921,,7.0,,50.0,,,,,0.0,0.0,,5.0,,,0.0,0.0,,0.0,0.0,,,160.0
